key,oid_freebase,oid_name,objects365_name,coco_name
_bottle_bottle,,,bottle,bottle
_cup_cup,,,cup,cup
_dining table_dining table,,,dining table,dining table
_cake_cake,,,cake,cake
_wild bird_bird,,,wild bird,bird
_knife_knife,,,knife,knife
_remote_remote,,,remote,remote
_microwave_microwave,,,microwave,microwave
_frisbee_frisbee,,,frisbee,frisbee
_toothbrush_toothbrush,,,toothbrush,toothbrush
Footwear_sneakers_,/m/09j5n,Footwear,sneakers,
Picture frame_picture/frame_,/m/06z37_,Picture frame,picture/frame,
Table_desk_,/m/04bcr3,Table,desk,
Street light_street lights_,/m/033rq4,Street light,street lights,
Book_book_,/m/0bt_c3,Book,book,
Helmet_helmet_,/m/0zvk5,Helmet,helmet,
Pillow_pillow_,/m/034c16,Pillow,pillow,
Box_storage box_,/m/025dyy,Box,storage box,
Bowl_bowl_,/m/04kkgm,Bowl,bowl,
Watercraft_boat_,/m/01rzcn,Watercraft,boat,
Flag_flag_,/m/03120,Flag,flag,
Stool_stool_,/m/0fqt361,Stool,stool,
Doll_toy_,/m/0167gd,Doll,toy,
Pen_pen/pencil_,/m/0k1tl,Pen,pen/pencil,
Microphone_microphone_,/m/0hg7b,Microphone,microphone,
Tap_faucet_,/m/02jz0l,Tap,faucet,
Bread_bread_,/m/09728,Bread,bread,
Sandal_high heels_,/m/03nfch,Sandal,high heels,
Fish_fish_,/m/0ch_cf,Fish,fish,
Camera_camera_,/m/0dv5r,Camera,camera,
Candle_candle_,/m/0c06p,Candle,candle,
Paddle_paddle_,/m/014y4n,Paddle,paddle,
Drum_drum_,/m/026t6,Drum,drum,
Guitar_guitar_,/m/0342h,Guitar,guitar,
Kettle_tea pot_,/m/03s_tn,Kettle,tea pot,
Ceiling fan_fan_,/m/03ldnb,Ceiling fan,fan,
Whiteboard_blackboard/whiteboard_,/m/02d9qx,Whiteboard,blackboard/whiteboard,
Balloon_balloon_,/m/01j51,Balloon,balloon,
Corded phone_telephone_,/m/0h8lkj8,Corded phone,telephone,
Orange_orange_,/m/0cyhj_,Orange,orange,
Football_soccer_,/m/01226z,Football,soccer,
Toilet paper_paper towel_,/m/09gtd,Toilet paper,paper towel,
Tomato_tomato_,/m/07j87,Tomato,tomato,
Tent_tent_,/m/01j61q,Tent,tent,
Lantern_lantern_,/m/01jfsr,Lantern,lantern,
Kite_kite_,/m/02zt3,Kite,kite,
Gas stove_gas stove_,/m/02wv84t,Gas stove,gas stove,
Spatula_shovel_,/m/02d1br,Spatula,shovel,
Rifle_gun_,/m/06c54,Rifle,gun,
Lemon_lemon_,/m/09k_b,Lemon,lemon,
Squash_pumpkin_,/m/0dv77,Squash,pumpkin,
Musical keyboard_piano_,/m/057cc,Musical keyboard,piano,
Washing machine_washing machine_,/m/0174k2,Washing machine,washing machine,
Cookie_cookies_,/m/021mn,Cookie,cookies,
Cutting board_cutting/chopping board_,/m/02pdsw,Cutting board,cutting/chopping board,
Roller skates_skating and skiing shoes_,/m/02p3w7d,Roller skates,skating and skiing shoes,
Cricket ball_baseball_,/m/02ctlc,Cricket ball,baseball,
Strawberry_strawberry_,/m/07fbm7,Strawberry,strawberry,
Coffeemaker_coffee machine_,/m/07xyvk,Coffeemaker,coffee machine,
Suitcase_suitcase_,/m/01s55n,Suitcase,suitcase,
Grape_grapes_,/m/0388q,Grape,grapes,
Ladder_ladder_,/m/012w5l,Ladder,ladder,
Pear_pear_,/m/061_f,Pear,pear,
Rugby ball_american football_,/m/0wdt60w,Rugby ball,american football,
Printer_printer_,/m/01m4t,Printer,printer,
Duck_goose_,/m/09ddx,Duck,goose,
Tennis ball_tennis ball_,/m/05ctyq,Tennis ball,tennis ball,
Chopsticks_chopsticks_,/m/01_5g,Chopsticks,chopsticks,
Hamburger_hamburger_,/m/0cdn1,Hamburger,hamburger,
Cucumber_cucumber_,/m/015x4r,Cucumber,cucumber,
Mixer_blender_,/m/063rgb,Mixer,blender,
Deer_deer_,/m/09kx5,Deer,deer,
Egg_egg_,/m/033cnk,Egg,egg,
Barge_ship_,/m/01btn,Barge,ship,
Turkey_chicken_,/m/0jly1,Turkey,chicken,
Ice cream_ice cream_,/m/0cxn2,Ice cream,ice cream,
Adhesive tape_tape_,/m/03m3vtv,Adhesive tape,tape,
Wheelchair_wheelchair_,/m/0qmmr,Wheelchair,wheelchair,
Cabbage_cabbage_,/m/0fbw6,Cabbage,cabbage,
Golf ball_golf ball_,/m/044r5d,Golf ball,golf ball,
Peach_peach_,/m/0dj6p,Peach,peach,
Cello_cello_,/m/01xqw,Cello,cello,
Helicopter_helicopter_,/m/09ct_,Helicopter,helicopter,
Penguin_penguin_,/m/05z6w,Penguin,penguin,
Swan_swan_,/m/0dftk,Swan,swan,
French fries_french fries_,/m/02y6n,French fries,french fries,
Saxophone_saxophone_,/m/06ncr,Saxophone,saxophone,
Trombone_trumpet_,/m/07c6l,Trombone,trumpet,
Raccoon_bear_,/m/0dq75,Raccoon,bear,
Tablet computer_tablet_,/m/0bh9flk,Tablet computer,tablet,
Volleyball_volleyball_,/m/02rgn06,Volleyball,volleyball,
Dumbbell_dumbbell_,/m/04h8sr,Dumbbell,dumbbell,
Camel_camel_,/m/01x_v,Camel,camel,
Goldfish_goldfish_,/m/03fj2,Goldfish,goldfish,
Antelope_antelope_,/m/0czz2,Antelope,antelope,
Shrimp_shrimp_,/m/0ll1f78,Shrimp,shrimp,
Cart_rickshaw_,/m/018p4k,Cart,rickshaw,
Coconut_coconut_,/m/0djtd,Coconut,coconut,
Jellyfish_jellyfish_,/m/0d8zb,Jellyfish,jellyfish,
Treadmill_treadmill_,/m/030610,Treadmill,treadmill,
Butterfly_butterfly_,/m/0cyf8,Butterfly,butterfly,
Pig_pig_,/m/068zj,Pig,pig,
Shower_hair drier_,/m/02f9f_,Shower,hair drier,
Asparagus_green onion_,/m/0cjs7,Asparagus,green onion,
Dolphin_dolphin_,/m/02hj4,Dolphin,dolphin,
Sushi_sushi_,/m/07030,Sushi,sushi,
Burrito_spring rolls_,/m/01j3zr,Burrito,spring rolls,
Tortoise_tortoise/turtle_,/m/011k07,Tortoise,tortoise/turtle,
Parrot_parrot_,/m/0gv1x,Parrot,parrot,
Flute_flute_,/m/0l14j_,Flute,flute,
Shark_shark_,/m/0by6g,Shark,shark,
Binoculars_binoculars_,/m/0lt4_,Binoculars,binoculars,
Alpaca_llama_,/m/0pcr,Alpaca,llama,
Pasta_noodles_,/m/05z55,Pasta,noodles,
Shellfish_crab_,/m/0fbdv,Shellfish,crab,
Lion_lion_,/m/096mb,Lion,lion,
Polar bear_polar bear_,/m/0633h,Polar bear,polar bear,
Sea lion_seal_,/m/0gd36,Sea lion,seal,
Table tennis racket_table tennis paddle_,/m/05_5p_0,Table tennis racket,table tennis paddle,
Starfish_starfish_,/m/01h8tj,Starfish,starfish,
Falcon_eagle_,/m/0f6wt,Falcon,eagle,
Monkey_monkey_,/m/08pbxl,Monkey,monkey,
Rabbit_rabbit_,/m/06mf6,Rabbit,rabbit,
Ambulance_ambulance_,/m/012n7d,Ambulance,ambulance,
Segway_hoverboard_,/m/076bq,Segway,hoverboard,
Truck__truck,/m/07r04,Truck,,truck
Boat__boat,/m/019jd,Boat,,boat
Bear__bear,/m/01dws,Bear,,bear
Handbag__handbag,/m/080hkjn,Handbag,,handbag
Ball__sports ball,/m/018xm,Ball,,sports ball
Sandwich__sandwich,/m/0l515,Sandwich,,sandwich
Bidet__toilet,/m/01vbnl,Bidet,,toilet
Computer monitor__tv,/m/02522,Computer monitor,,tv
Vase__vase,/m/02s195,Vase,,vase
Person_person_person,/m/01g317,Person,person,person
Chair_chair_chair,/m/01mzpv,Chair,chair,chair
Car_car_car,/m/0k4j,Car,car,car
Houseplant_potted plant_potted plant,/m/03fp41,Houseplant,potted plant,potted plant
Bench2_bench_bench,/m/0cvnqh,Bench2,bench,bench
Wine glass_wine glass_wine glass,/m/09tvcd,Wine glass,wine glass,wine glass
Umbrella_umbrella_umbrella,/m/0hnnb,Umbrella,umbrella,umbrella
Backpack_backpack_backpack,/m/01940j,Backpack,backpack,backpack
Loveseat_couch_couch,/m/0703r8,Loveseat,couch,couch
Tie_tie_tie,/m/01rkbr,Tie,tie,tie
Infant bed_bed_bed,/m/061hd_,Infant bed,bed,bed
Traffic light_traffic light_traffic light,/m/015qff,Traffic light,traffic light,traffic light
Bicycle_bicycle_bicycle,/m/0199g,Bicycle,bicycle,bicycle
Sink_sink_sink,/m/0130jx,Sink,sink,sink
Horse_horse_horse,/m/03k3r,Horse,horse,horse
Apple_apple_apple,/m/014j1m,Apple,apple,apple
Teddy bear_teddy bear_teddy bear,/m/0kmg4,Teddy bear,teddy bear,teddy bear
