key,OID_id,OID_name,obj365_boxable_name,coco_boxable_name
oyster,/m/0_cp5,Oyster,,
ant,/m/0_k2,Ant,,
chopstick,/m/01_5g,Chopsticks,Chopsticks,
tortoise,/m/011k07,Tortoise,,
sea_turtle,/m/0120dh,Sea turtle,,
american_football,/m/01226z,Football,American Football,
ambulance,/m/012n7d,Ambulance,Ambulance,
ladder,/m/012w5l,Ladder,Ladder,
sink,/m/0130jx,Sink,Sink,sink
toy,/m/0138tl,Toy,,
organ,/m/013y1f,Organ,,
apple,/m/014j1m,Apple,Apple,apple
eye,/m/014sv8,Human eye,,
paddle,/m/014y4n,Paddle,Paddle,
snowman,/m/0152hh,Snowman,,
beer,/m/01599,Beer,,
beard,/m/015h_t,Human beard,,
Bird,/m/015p6,Bird,,bird
traffic_light,/m/015qff,Traffic light,Traffic Light,traffic light
croissant,/m/015wgc,Croissant,,
cucumber,/m/015x4r,Cucumber,Cucumber,
radish,/m/015x5n,Radish,Radish,
towel,/m/0162_1,Towel,towel/napkin,
doll,/m/0167gd,Doll,,
skull,/m/016m2d,Skull,,
washing_machine,/m/0174k2,Washing machine,washing machine,
glove,/m/0174n1,Glove,glove,
tick,/m/0175cv,Tick,,
belt,/m/0176mf,Belt,Belt,
sunglasses,/m/017ftj,Sunglasses,,
cart,/m/018p4k,Cart,,
ball,/m/018xm,Ball,,sports ball
backpack,/m/01940j,Backpack,Backpack,backpack
bicycle,/m/0199g,Bicycle,Bicycle,bicycle
home_appliance,/m/019dx1,Home appliance,,
centipede,/m/019h78,Centipede,,
boat,/m/019jd,Boat,Boat,boat
surfboard,/m/019w40,Surfboard,Surfboard,surfboard
boot,/m/01b638,Boot,Boots,
headphone,/m/01b7fy,Headphones,Head Phone,
hot_dog,/m/01b9xk,Hot dog,Hot dog,hot dog
shorts,/m/01bfm9,Shorts,,
bus,/m/01bjv,Bus,Bus,bus
boy,/m/01bl7v,Boy,,
screwdriver,/m/01bms0,Screwdriver,Screwdriver,
bicycle_wheel,/m/01bqk0,Bicycle wheel,,
barge,/m/01btn,Barge,,
laptop,/m/01c648,Laptop,Laptop,laptop
miniskirt,/m/01cmb2,Miniskirt,,
dress,/m/01d40f,Dress,,
bear,/m/01dws,Bear,Bear,bear
waffle,/m/01dwsz,Waffle,,
pancake,/m/01dwwc,Pancake,,
brown_bear,/m/01dxs,Brown bear,,
woodpecker,/m/01dy8n,Woodpecker,,
blue_jay,/m/01f8m5,Blue jay,,
pretzel,/m/01f91_,Pretzel,,
bagel,/m/01fb_0,Bagel,,
tower,/m/01fdzj,Tower,,
teapot,/m/01fh4r,Teapot,Tea pot,
person,/m/01g317,Person,Person,person
bow_and_arrow,/m/01g3x7,Bow and arrow,,
swimwear,/m/01gkx_,Swimwear,,
beehive,/m/01gllr,Beehive,,
brassiere,/m/01gmv2,Brassiere,,
bee,/m/01h3n,Bee,,
bat,/m/01h44,Bat,,
starfish,/m/01h8tj,Starfish,starfish,
popcorn,/m/01hrv5,Popcorn,,
burrito,/m/01j3zr,Burrito,,
balloon,/m/01j51,Balloon,,
wrench,/m/01j5ks,Wrench,,
tent,/m/01j61q,Tent,Tent,
license_plate,/m/01jfm_,Vehicle registration plate,,
lantern,/m/01jfsr,Lantern,Lantern,
toaster,/m/01k6s3,Toaster,Toaster,toaster
flashlight,/m/01kb5b,Flashlight,,
billboard,/m/01knjb,Billboard,,
tiara,/m/01krhy,Tiara,,
limousine,/m/01lcw4,Limousine,,
necklace,/m/01llwg,Necklace,Necklace,
carnivore,/m/01lrl,Carnivore,,
scissors,/m/01lsmm,Scissors,Scissors,scissors
stairs,/m/01lynh,Stairs,,
computer_keyboard,/m/01m2v,Computer keyboard,Keyboard,keyboard
printer,/m/01m4t,Printer,Printer,
traffic_sign,/m/01mqdt,Traffic sign,Traffic Sign,
chair,/m/01mzpv,Chair,Chair,chair
shirt,/m/01n4qj,Shirt,,
poster,/m/01n5jq,Poster,,
sock,/m/01nq26,Sock,,
fire_hydrant,/m/01pns0,Fire hydrant,Fire Hydrant,fire hydrant
land_vehicle,/m/01prls,Land vehicle,,
earring,/m/01r546,Earrings,,
tie,/m/01rkbr,Tie,Tie,tie
watercraft,/m/01rzcn,Watercraft,,
cabinetry,/m/01s105,Cabinetry,Cabinet/shelf,
suitcase,/m/01s55n,Suitcase,,suitcase
muffin,/m/01tcjp,Muffin,,
bidet,/m/01vbnl,Bidet,,
camel,/m/01x_v,Camel,camel,
snowmobile,/m/01x3jk,Snowmobile,,
clock,/m/01x3z,Clock,Clock,clock
cattle,/m/01xq0k1,Cattle,,
cello,/m/01xqw,Cello,Cello,
jet_ski,/m/01xs3r,Jet ski,,
